param,paramcd,job,aval,avalu,srcdom,paramtyp
Hungary,MEAN,Machine Learning Engineer,112424,,DATA JOBS,
Ireland,MEAN,Machine Learning Engineer,139441,,DATA JOBS,
Italy,MEAN,Machine Learning Engineer,91556,,DATA JOBS,
Netherlands,MEAN,Machine Learning Engineer,130333,,DATA JOBS,
Poland,MEAN,Machine Learning Engineer,115062,,DATA JOBS,
Portugal,MEAN,Machine Learning Engineer,145196,,DATA JOBS,
Romania,MEAN,Machine Learning Engineer,144577,,DATA JOBS,
Spain,MEAN,Machine Learning Engineer,116342,,DATA JOBS,
Sweden,MEAN,Machine Learning Engineer,133161,,DATA JOBS,
,MEAN,Machine Learning Engineer,122271,,DATA JOBS,MEAN COUNTRY AVG
Belgium,MAX,Machine Learning Engineer,104059,,DATA JOBS,
Denmark,MAX,Machine Learning Engineer,170980,,DATA JOBS,
Finland,MAX,Machine Learning Engineer,191065,,DATA JOBS,
France,MAX,Machine Learning Engineer,170980,,DATA JOBS,
Germany,MAX,Machine Learning Engineer,231235,,DATA JOBS,
Greece,MAX,Machine Learning Engineer,182601,,DATA JOBS,
Hungary,MAX,Machine Learning Engineer,191065,,DATA JOBS,
Ireland,MAX,Machine Learning Engineer,170980,,DATA JOBS,
Italy,MAX,Machine Learning Engineer,107808,,DATA JOBS,
Netherlands,MAX,Machine Learning Engineer,231750,,DATA JOBS,
Poland,MAX,Machine Learning Engineer,191580,,DATA JOBS,
Portugal,MAX,Machine Learning Engineer,195185,,DATA JOBS,
Romania,MAX,Machine Learning Engineer,170980,,DATA JOBS,
Spain,MAX,Machine Learning Engineer,231750,,DATA JOBS,
Sweden,MAX,Machine Learning Engineer,170980,,DATA JOBS,
,MAX,Machine Learning Engineer,180866,,DATA JOBS,MAX COUNTRY AVG
Belgium,STD,Machine Learning Engineer,11419,,DATA JOBS,
Denmark,STD,Machine Learning Engineer,44209,,DATA JOBS,
Finland,STD,Machine Learning Engineer,42970,,DATA JOBS,
France,STD,Machine Learning Engineer,37705,,DATA JOBS,
Germany,STD,Machine Learning Engineer,53358,,DATA JOBS,
Greece,STD,Machine Learning Engineer,37173,,DATA JOBS,
Hungary,STD,Machine Learning Engineer,63835,,DATA JOBS,
Ireland,STD,Machine Learning Engineer,44836,,DATA JOBS,
Italy,STD,Machine Learning Engineer,16361,,DATA JOBS,
Netherlands,STD,Machine Learning Engineer,54568,,DATA JOBS,
Poland,STD,Machine Learning Engineer,38974,,DATA JOBS,
Portugal,STD,Machine Learning Engineer,46622,,DATA JOBS,
Romania,STD,Machine Learning Engineer,45730,,DATA JOBS,
Spain,STD,Machine Learning Engineer,51591,,DATA JOBS,
Sweden,STD,Machine Learning Engineer,45080,,DATA JOBS,
,STD,Machine Learning Engineer,42295,,DATA JOBS,STD COUNTRY AVG
Belgium,N,Machine Learning Engineer,7,,DATA JOBS,
Denmark,N,Machine Learning Engineer,2,,DATA JOBS,
Finland,N,Machine Learning Engineer,4,,DATA JOBS,
France,N,Machine Learning Engineer,17,,DATA JOBS,
Germany,N,Machine Learning Engineer,39,,DATA JOBS,
Greece,N,Machine Learning Engineer,14,,DATA JOBS,
Hungary,N,Machine Learning Engineer,5,,DATA JOBS,
Ireland,N,Machine Learning Engineer,5,,DATA JOBS,
Italy,N,Machine Learning Engineer,3,,DATA JOBS,
Netherlands,N,Machine Learning Engineer,12,,DATA JOBS,
Poland,N,Machine Learning Engineer,23,,DATA JOBS,
Portugal,N,Machine Learning Engineer,14,,DATA JOBS,
Romania,N,Machine Learning Engineer,3,,DATA JOBS,
Spain,N,Machine Learning Engineer,16,,DATA JOBS,
Sweden,N,Machine Learning Engineer,3,,DATA JOBS,
,N,Machine Learning Engineer,167,,DATA JOBS,N OVERALL
Finland,MIN,Senior Data Analyst,103515,,DATA JOBS,
France,MIN,Senior Data Analyst,51053,,DATA JOBS,
Germany,MIN,Senior Data Analyst,59328,,DATA JOBS,
Hungary,MIN,Senior Data Analyst,88992,,DATA JOBS,
Ireland,MIN,Senior Data Analyst,75087,,DATA JOBS,
Italy,MIN,Senior Data Analyst,91773,,DATA JOBS,
Netherlands,MIN,Senior Data Analyst,114510,,DATA JOBS,
Poland,MIN,Senior Data Analyst,88992,,DATA JOBS,
Portugal,MIN,Senior Data Analyst,114510,,DATA JOBS,
Romania,MIN,Senior Data Analyst,88992,,DATA JOBS,
Spain,MIN,Senior Data Analyst,91773,,DATA JOBS,
Sweden,MIN,Senior Data Analyst,51053,,DATA JOBS,
,MIN,Senior Data Analyst,84964,,DATA JOBS,MIN COUNTRY AVG
Finland,MEDIAN,Senior Data Analyst,114510,,DATA JOBS,
France,MEDIAN,Senior Data Analyst,114510,,DATA JOBS,
Germany,MEDIAN,Senior Data Analyst,114510,,DATA JOBS,
Hungary,MEDIAN,Senior Data Analyst,90382,,DATA JOBS,
Ireland,MEDIAN,Senior Data Analyst,121684,,DATA JOBS,
Italy,MEDIAN,Senior Data Analyst,114510,,DATA JOBS,
Netherlands,MEDIAN,Senior Data Analyst,114510,,DATA JOBS,
Poland,MEDIAN,Senior Data Analyst,114510,,DATA JOBS,
Portugal,MEDIAN,Senior Data Analyst,114510,,DATA JOBS,
Romania,MEDIAN,Senior Data Analyst,114510,,DATA JOBS,
Spain,MEDIAN,Senior Data Analyst,114510,,DATA JOBS,
Sweden,MEDIAN,Senior Data Analyst,114510,,DATA JOBS,
,MEDIAN,Senior Data Analyst,113097,,DATA JOBS,MEDIAN COUNTRY AVG
Finland,MEAN,Senior Data Analyst,110854,,DATA JOBS,
France,MEAN,Senior Data Analyst,107428,,DATA JOBS,
Germany,MEAN,Senior Data Analyst,102543,,DATA JOBS,
Hungary,MEAN,Senior Data Analyst,90382,,DATA JOBS,
Ireland,MEAN,Senior Data Analyst,132368,,DATA JOBS,
Italy,MEAN,Senior Data Analyst,106931,,DATA JOBS,
Netherlands,MEAN,Senior Data Analyst,114510,,DATA JOBS,
Poland,MEAN,Senior Data Analyst,110944,,DATA JOBS,
Portugal,MEAN,Senior Data Analyst,114517,,DATA JOBS,
Romania,MEAN,Senior Data Analyst,129586,,DATA JOBS,
Spain,MEAN,Senior Data Analyst,110762,,DATA JOBS,
Sweden,MEAN,Senior Data Analyst,93357,,DATA JOBS,
,MEAN,Senior Data Analyst,110348,,DATA JOBS,MEAN COUNTRY AVG
Finland,MAX,Senior Data Analyst,114538,,DATA JOBS,
France,MAX,Senior Data Analyst,161195,,DATA JOBS,
Germany,MAX,Senior Data Analyst,122982,,DATA JOBS,
Hungary,MAX,Senior Data Analyst,91773,,DATA JOBS,
Ireland,MAX,Senior Data Analyst,200335,,DATA JOBS,
Italy,MAX,Senior Data Analyst,114510,,DATA JOBS,
Netherlands,MAX,Senior Data Analyst,114510,,DATA JOBS,
Poland,MAX,Senior Data Analyst,122982,,DATA JOBS,
Portugal,MAX,Senior Data Analyst,114538,,DATA JOBS,
Romania,MAX,Senior Data Analyst,200335,,DATA JOBS,
Spain,MAX,Senior Data Analyst,114510,,DATA JOBS,
Sweden,MAX,Senior Data Analyst,114510,,DATA JOBS,
,MAX,Senior Data Analyst,132226,,DATA JOBS,MAX COUNTRY AVG
Finland,STD,Senior Data Analyst,6356,,DATA JOBS,
France,STD,Senior Data Analyst,25504,,DATA JOBS,
Germany,STD,Senior Data Analyst,19945,,DATA JOBS,
Hungary,STD,Senior Data Analyst,1966,,DATA JOBS,
Ireland,STD,Senior Data Analyst,63303,,DATA JOBS,
Italy,STD,Senior Data Analyst,13127,,DATA JOBS,
Poland,STD,Senior Data Analyst,12168,,DATA JOBS,
Portugal,STD,Senior Data Analyst,13,,DATA JOBS,
Romania,STD,Senior Data Analyst,48675,,DATA JOBS,
Spain,STD,Senior Data Analyst,7995,,DATA JOBS,
Sweden,STD,Senior Data Analyst,36636,,DATA JOBS,
,STD,Senior Data Analyst,21426,,DATA JOBS,STD COUNTRY AVG
Finland,N,Senior Data Analyst,3,,DATA JOBS,
France,N,Senior Data Analyst,12,,DATA JOBS,
Germany,N,Senior Data Analyst,15,,DATA JOBS,
Hungary,N,Senior Data Analyst,2,,DATA JOBS,
Ireland,N,Senior Data Analyst,3,,DATA JOBS,
Italy,N,Senior Data Analyst,3,,DATA JOBS,
Netherlands,N,Senior Data Analyst,1,,DATA JOBS,
Poland,N,Senior Data Analyst,9,,DATA JOBS,
Portugal,N,Senior Data Analyst,4,,DATA JOBS,
Romania,N,Senior Data Analyst,4,,DATA JOBS,
Spain,N,Senior Data Analyst,9,,DATA JOBS,
Sweden,N,Senior Data Analyst,3,,DATA JOBS,
,N,Senior Data Analyst,68,,DATA JOBS,N OVERALL
Belgium,MIN,Senior Data Engineer,91773,,DATA JOBS,
Denmark,MIN,Senior Data Engineer,151925,,DATA JOBS,
Finland,MIN,Senior Data Engineer,99676,,DATA JOBS,
France,MIN,Senior Data Engineer,81576,,DATA JOBS,
Germany,MIN,Senior Data Engineer,75087,,DATA JOBS,
Greece,MIN,Senior Data Engineer,46350,,DATA JOBS,
Hungary,MIN,Senior Data Engineer,151925,,DATA JOBS,
Ireland,MIN,Senior Data Engineer,91773,,DATA JOBS,
Netherlands,MIN,Senior Data Engineer,91773,,DATA JOBS,
Poland,MIN,Senior Data Engineer,46350,,DATA JOBS,
Portugal,MIN,Senior Data Engineer,58401,,DATA JOBS,
Romania,MIN,Senior Data Engineer,91773,,DATA JOBS,
Spain,MIN,Senior Data Engineer,75087,,DATA JOBS,
Sweden,MIN,Senior Data Engineer,151925,,DATA JOBS,
,MIN,Senior Data Engineer,93242,,DATA JOBS,MIN COUNTRY AVG
Belgium,MEDIAN,Senior Data Engineer,91773,,DATA JOBS,
Denmark,MEDIAN,Senior Data Engineer,151925,,DATA JOBS,
Finland,MEDIAN,Senior Data Engineer,103913,,DATA JOBS,
France,MEDIAN,Senior Data Engineer,151925,,DATA JOBS,
Germany,MEDIAN,Senior Data Engineer,151925,,DATA JOBS,
Greece,MEDIAN,Senior Data Engineer,46350,,DATA JOBS,
Hungary,MEDIAN,Senior Data Engineer,151925,,DATA JOBS,
Ireland,MEDIAN,Senior Data Engineer,151925,,DATA JOBS,
Netherlands,MEDIAN,Senior Data Engineer,151925,,DATA JOBS,
Poland,MEDIAN,Senior Data Engineer,91773,,DATA JOBS,
Portugal,MEDIAN,Senior Data Engineer,151925,,DATA JOBS,
Romania,MEDIAN,Senior Data Engineer,121849,,DATA JOBS,
Spain,MEDIAN,Senior Data Engineer,151925,,DATA JOBS,
Sweden,MEDIAN,Senior Data Engineer,151925,,DATA JOBS,
,MEDIAN,Senior Data Engineer,130213,,DATA JOBS,MEDIAN COUNTRY AVG
Belgium,MEAN,Senior Data Engineer,91773,,DATA JOBS,
Denmark,MEAN,Senior Data Engineer,151925,,DATA JOBS,
Finland,MEAN,Senior Data Engineer,103913,,DATA JOBS,
France,MEAN,Senior Data Engineer,139741,,DATA JOBS,
Germany,MEAN,Senior Data Engineer,131379,,DATA JOBS,
Greece,MEAN,Senior Data Engineer,46350,,DATA JOBS,
Hungary,MEAN,Senior Data Engineer,151925,,DATA JOBS,
Ireland,MEAN,Senior Data Engineer,143358,,DATA JOBS,
Netherlands,MEAN,Senior Data Engineer,141542,,DATA JOBS,
Poland,MEAN,Senior Data Engineer,102298,,DATA JOBS,
Portugal,MEAN,Senior Data Engineer,122734,,DATA JOBS,
Romania,MEAN,Senior Data Engineer,121849,,DATA JOBS,
Spain,MEAN,Senior Data Engineer,127250,,DATA JOBS,
Sweden,MEAN,Senior Data Engineer,151925,,DATA JOBS,
,MEAN,Senior Data Engineer,123426,,DATA JOBS,MEAN COUNTRY AVG
Belgium,MAX,Senior Data Engineer,91773,,DATA JOBS,
Denmark,MAX,Senior Data Engineer,151925,,DATA JOBS,
Finland,MAX,Senior Data Engineer,108150,,DATA JOBS,
France,MAX,Senior Data Engineer,151925,,DATA JOBS,
Germany,MAX,Senior Data Engineer,160165,,DATA JOBS,
Greece,MAX,Senior Data Engineer,46350,,DATA JOBS,
Hungary,MAX,Senior Data Engineer,151925,,DATA JOBS,
Ireland,MAX,Senior Data Engineer,160680,,DATA JOBS,
Netherlands,MAX,Senior Data Engineer,160165,,DATA JOBS,
Poland,MAX,Senior Data Engineer,151925,,DATA JOBS,
Portugal,MAX,Senior Data Engineer,159650,,DATA JOBS,
Romania,MAX,Senior Data Engineer,151925,,DATA JOBS,
Spain,MAX,Senior Data Engineer,181795,,DATA JOBS,
Sweden,MAX,Senior Data Engineer,151925,,DATA JOBS,
,MAX,Senior Data Engineer,141448,,DATA JOBS,MAX COUNTRY AVG
Denmark,STD,Senior Data Engineer,0,,DATA JOBS,
Finland,STD,Senior Data Engineer,5991,,DATA JOBS,
France,STD,Senior Data Engineer,25453,,DATA JOBS,
Germany,STD,Senior Data Engineer,30406,,DATA JOBS,
Hungary,STD,Senior Data Engineer,0,,DATA JOBS,
Ireland,STD,Senior Data Engineer,25513,,DATA JOBS,
Netherlands,STD,Senior Data Engineer,28049,,DATA JOBS,
Poland,STD,Senior Data Engineer,41914,,DATA JOBS,
Portugal,STD,Senior Data Engineer,45178,,DATA JOBS,
Romania,STD,Senior Data Engineer,42533,,DATA JOBS,
Spain,STD,Senior Data Engineer,36835,,DATA JOBS,
Sweden,STD,Senior Data Engineer,0,,DATA JOBS,
,STD,Senior Data Engineer,23489,,DATA JOBS,STD COUNTRY AVG
Belgium,N,Senior Data Engineer,1,,DATA JOBS,
Denmark,N,Senior Data Engineer,2,,DATA JOBS,
Finland,N,Senior Data Engineer,2,,DATA JOBS,
France,N,Senior Data Engineer,15,,DATA JOBS,
Germany,N,Senior Data Engineer,26,,DATA JOBS,
Greece,N,Senior Data Engineer,1,,DATA JOBS,
Hungary,N,Senior Data Engineer,3,,DATA JOBS,
Ireland,N,Senior Data Engineer,6,,DATA JOBS,
Netherlands,N,Senior Data Engineer,5,,DATA JOBS,
Poland,N,Senior Data Engineer,9,,DATA JOBS,
Portugal,N,Senior Data Engineer,5,,DATA JOBS,
Romania,N,Senior Data Engineer,2,,DATA JOBS,
Spain,N,Senior Data Engineer,11,,DATA JOBS,
Sweden,N,Senior Data Engineer,6,,DATA JOBS,
,N,Senior Data Engineer,94,,DATA JOBS,N OVERALL
Belgium,MIN,Senior Data Scientist,58401,,DATA JOBS,
Finland,MIN,Senior Data Scientist,90771,,DATA JOBS,
France,MIN,Senior Data Scientist,91773,,DATA JOBS,
Germany,MIN,Senior Data Scientist,83275,,DATA JOBS,
Greece,MIN,Senior Data Scientist,75087,,DATA JOBS,
Hungary,MIN,Senior Data Scientist,91773,,DATA JOBS,
Ireland,MIN,Senior Data Scientist,146775,,DATA JOBS,
Italy,MIN,Senior Data Scientist,74160,,DATA JOBS,
Netherlands,MIN,Senior Data Scientist,75087,,DATA JOBS,
Poland,MIN,Senior Data Scientist,90771,,DATA JOBS,
Portugal,MIN,Senior Data Scientist,58401,,DATA JOBS,
Spain,MIN,Senior Data Scientist,46350,,DATA JOBS,
Sweden,MIN,Senior Data Scientist,151925,,DATA JOBS,
,MIN,Senior Data Scientist,87273,,DATA JOBS,MIN COUNTRY AVG
Belgium,MEDIAN,Senior Data Scientist,91773,,DATA JOBS,
Finland,MEDIAN,Senior Data Scientist,126498,,DATA JOBS,
France,MEDIAN,Senior Data Scientist,162225,,DATA JOBS,
Germany,MEDIAN,Senior Data Scientist,162225,,DATA JOBS,
Greece,MEDIAN,Senior Data Scientist,91863,,DATA JOBS,
Hungary,MEDIAN,Senior Data Scientist,91773,,DATA JOBS,
Ireland,MEDIAN,Senior Data Scientist,166602,,DATA JOBS,
Italy,MEDIAN,Senior Data Scientist,75087,,DATA JOBS,
Netherlands,MEDIAN,Senior Data Scientist,151925,,DATA JOBS,
Poland,MEDIAN,Senior Data Scientist,162225,,DATA JOBS,
Portugal,MEDIAN,Senior Data Scientist,151925,,DATA JOBS,
Spain,MEDIAN,Senior Data Scientist,162225,,DATA JOBS,
Sweden,MEDIAN,Senior Data Scientist,175615,,DATA JOBS,
,MEDIAN,Senior Data Scientist,136304,,DATA JOBS,MEDIAN COUNTRY AVG
Belgium,MEAN,Senior Data Scientist,80649,,DATA JOBS,
Finland,MEAN,Senior Data Scientist,126498,,DATA JOBS,
France,MEAN,Senior Data Scientist,146569,,DATA JOBS,
Germany,MEAN,Senior Data Scientist,153190,,DATA JOBS,
Greece,MEAN,Senior Data Scientist,117020,,DATA JOBS,
Hungary,MEAN,Senior Data Scientist,115257,,DATA JOBS,
Ireland,MEAN,Senior Data Scientist,162848,,DATA JOBS,
Italy,MEAN,Senior Data Scientist,85902,,DATA JOBS,
Netherlands,MEAN,Senior Data Scientist,129745,,DATA JOBS,
Poland,MEAN,Senior Data Scientist,136524,,DATA JOBS,
Portugal,MEAN,Senior Data Scientist,129937,,DATA JOBS,
Spain,MEAN,Senior Data Scientist,143030,,DATA JOBS,
Sweden,MEAN,Senior Data Scientist,175100,,DATA JOBS,
,MEAN,Senior Data Scientist,130944,,DATA JOBS,MEAN COUNTRY AVG
Belgium,MAX,Senior Data Scientist,91773,,DATA JOBS,
Finland,MAX,Senior Data Scientist,162225,,DATA JOBS,
France,MAX,Senior Data Scientist,162225,,DATA JOBS,
Germany,MAX,Senior Data Scientist,231235,,DATA JOBS,
Greece,MAX,Senior Data Scientist,206000,,DATA JOBS,
Hungary,MAX,Senior Data Scientist,162225,,DATA JOBS,
Ireland,MAX,Senior Data Scientist,171412,,DATA JOBS,
Italy,MAX,Senior Data Scientist,108459,,DATA JOBS,
Netherlands,MAX,Senior Data Scientist,162225,,DATA JOBS,
Poland,MAX,Senior Data Scientist,162225,,DATA JOBS,
Portugal,MAX,Senior Data Scientist,162225,,DATA JOBS,
Spain,MAX,Senior Data Scientist,217819,,DATA JOBS,
Sweden,MAX,Senior Data Scientist,197760,,DATA JOBS,
,MAX,Senior Data Scientist,169062,,DATA JOBS,MAX COUNTRY AVG
Belgium,STD,Senior Data Scientist,19267,,DATA JOBS,
Finland,STD,Senior Data Scientist,50525,,DATA JOBS,
France,STD,Senior Data Scientist,31066,,DATA JOBS,
Germany,STD,Senior Data Scientist,34645,,DATA JOBS,
Greece,STD,Senior Data Scientist,54310,,DATA JOBS,
Hungary,STD,Senior Data Scientist,40675,,DATA JOBS,
Ireland,STD,Senior Data Scientist,11521,,DATA JOBS,
Italy,STD,Senior Data Scientist,19540,,DATA JOBS,
Netherlands,STD,Senior Data Scientist,47615,,DATA JOBS,
Poland,STD,Senior Data Scientist,33703,,DATA JOBS,
Portugal,STD,Senior Data Scientist,39096,,DATA JOBS,
Spain,STD,Senior Data Scientist,60255,,DATA JOBS,
Sweden,STD,Senior Data Scientist,22921,,DATA JOBS,
,STD,Senior Data Scientist,35780,,DATA JOBS,STD COUNTRY AVG
Belgium,N,Senior Data Scientist,3,,DATA JOBS,
Finland,N,Senior Data Scientist,2,,DATA JOBS,
France,N,Senior Data Scientist,9,,DATA JOBS,
Germany,N,Senior Data Scientist,21,,DATA JOBS,
Greece,N,Senior Data Scientist,6,,DATA JOBS,
Hungary,N,Senior Data Scientist,3,,DATA JOBS,
Ireland,N,Senior Data Scientist,4,,DATA JOBS,
Italy,N,Senior Data Scientist,3,,DATA JOBS,
Netherlands,N,Senior Data Scientist,3,,DATA JOBS,
Poland,N,Senior Data Scientist,12,,DATA JOBS,
Portugal,N,Senior Data Scientist,11,,DATA JOBS,
Spain,N,Senior Data Scientist,7,,DATA JOBS,
Sweden,N,Senior Data Scientist,3,,DATA JOBS,
,N,Senior Data Scientist,87,,DATA JOBS,N OVERALL
Belgium,MIN,Software Engineer,45751,,DATA JOBS,
Finland,MIN,Software Engineer,77250,,DATA JOBS,
France,MIN,Software Engineer,45751,,DATA JOBS,
Germany,MIN,Software Engineer,58401,,DATA JOBS,
Greece,MIN,Software Engineer,58401,,DATA JOBS,
Hungary,MIN,Software Engineer,58401,,DATA JOBS,
Ireland,MIN,Software Engineer,91773,,DATA JOBS,
Italy,MIN,Software Engineer,84975,,DATA JOBS,
Netherlands,MIN,Software Engineer,58401,,DATA JOBS,
Poland,MIN,Software Engineer,67742,,DATA JOBS,
Portugal,MIN,Software Engineer,91773,,DATA JOBS,
Romania,MIN,Software Engineer,44496,,DATA JOBS,
Spain,MIN,Software Engineer,58401,,DATA JOBS,
Sweden,MIN,Software Engineer,161195,,DATA JOBS,
,MIN,Software Engineer,71622,,DATA JOBS,MIN COUNTRY AVG
Belgium,MEDIAN,Software Engineer,60419,,DATA JOBS,
Finland,MEDIAN,Software Engineer,77250,,DATA JOBS,
France,MEDIAN,Software Engineer,146775,,DATA JOBS,
Germany,MEDIAN,Software Engineer,87524,,DATA JOBS,
Greece,MEDIAN,Software Engineer,83430,,DATA JOBS,
Hungary,MEDIAN,Software Engineer,70838,,DATA JOBS,
Ireland,MEDIAN,Software Engineer,91773,,DATA JOBS,
Italy,MEDIAN,Software Engineer,96897,,DATA JOBS,
Netherlands,MEDIAN,Software Engineer,91773,,DATA JOBS,
Poland,MEDIAN,Software Engineer,91773,,DATA JOBS,
Portugal,MEDIAN,Software Engineer,97850,,DATA JOBS,
Romania,MEDIAN,Software Engineer,144663,,DATA JOBS,
Spain,MEDIAN,Software Engineer,79361,,DATA JOBS,
Sweden,MEDIAN,Software Engineer,161195,,DATA JOBS,
,MEDIAN,Software Engineer,98680,,DATA JOBS,MEDIAN COUNTRY AVG
Belgium,MEAN,Software Engineer,60419,,DATA JOBS,
Finland,MEAN,Software Engineer,77250,,DATA JOBS,
France,MEAN,Software Engineer,131083,,DATA JOBS,
Germany,MEAN,Software Engineer,93805,,DATA JOBS,
Greece,MEAN,Software Engineer,93755,,DATA JOBS,
Hungary,MEAN,Software Engineer,72962,,DATA JOBS,
Ireland,MEAN,Software Engineer,91773,,DATA JOBS,
Italy,MEAN,Software Engineer,96897,,DATA JOBS,
Netherlands,MEAN,Software Engineer,113746,,DATA JOBS,
Poland,MEAN,Software Engineer,94958,,DATA JOBS,
Portugal,MEAN,Software Engineer,121478,,DATA JOBS,
Romania,MEAN,Software Engineer,133539,,DATA JOBS,
Spain,MEAN,Software Engineer,106553,,DATA JOBS,
Sweden,MEAN,Software Engineer,161195,,DATA JOBS,
,MEAN,Software Engineer,103529,,DATA JOBS,MEAN COUNTRY AVG
Belgium,MAX,Software Engineer,75087,,DATA JOBS,
Finland,MAX,Software Engineer,77250,,DATA JOBS,
France,MAX,Software Engineer,202395,,DATA JOBS,
Germany,MAX,Software Engineer,182601,,DATA JOBS,
Greece,MAX,Software Engineer,161195,,DATA JOBS,
Hungary,MAX,Software Engineer,91773,,DATA JOBS,
Ireland,MAX,Software Engineer,91773,,DATA JOBS,
Italy,MAX,Software Engineer,108819,,DATA JOBS,
Netherlands,MAX,Software Engineer,191065,,DATA JOBS,
Poland,MAX,Software Engineer,161195,,DATA JOBS,
Portugal,MAX,Software Engineer,164800,,DATA JOBS,
Romania,MAX,Software Engineer,200335,,DATA JOBS,
Spain,MAX,Software Engineer,211150,,DATA JOBS,
Sweden,MAX,Software Engineer,161195,,DATA JOBS,
,MAX,Software Engineer,148616,,DATA JOBS,MAX COUNTRY AVG
Belgium,STD,Software Engineer,20743,,DATA JOBS,
France,STD,Software Engineer,62859,,DATA JOBS,
Germany,STD,Software Engineer,44528,,DATA JOBS,
Greece,STD,Software Engineer,39931,,DATA JOBS,
Hungary,STD,Software Engineer,17168,,DATA JOBS,
Italy,STD,Software Engineer,16860,,DATA JOBS,
Netherlands,STD,Software Engineer,69007,,DATA JOBS,
Poland,STD,Software Engineer,22541,,DATA JOBS,
Portugal,STD,Software Engineer,38004,,DATA JOBS,
Romania,STD,Software Engineer,79239,,DATA JOBS,
Spain,STD,Software Engineer,58647,,DATA JOBS,
,STD,Software Engineer,42684,,DATA JOBS,STD COUNTRY AVG
Belgium,N,Software Engineer,2,,DATA JOBS,
Finland,N,Software Engineer,1,,DATA JOBS,
France,N,Software Engineer,11,,DATA JOBS,
Germany,N,Software Engineer,10,,DATA JOBS,
Greece,N,Software Engineer,6,,DATA JOBS,
Hungary,N,Software Engineer,4,,DATA JOBS,
Ireland,N,Software Engineer,1,,DATA JOBS,
Italy,N,Software Engineer,2,,DATA JOBS,
Netherlands,N,Software Engineer,3,,DATA JOBS,
Poland,N,Software Engineer,15,,DATA JOBS,
Portugal,N,Software Engineer,5,,DATA JOBS,
Romania,N,Software Engineer,4,,DATA JOBS,
Spain,N,Software Engineer,8,,DATA JOBS,
Sweden,N,Software Engineer,1,,DATA JOBS,
,N,Software Engineer,73,,DATA JOBS,N OVERALL
