Skills,Group,T_Group,T6_9,T9_12,T12_15,T15_18,T18_21,T21_24,T24_27
mongodb,90 - 120,14,3.0,14.0,4.0,,2.0,,
sql server,90 - 120,13,4.0,13.0,10.0,2.0,,,
keras,90 - 120,13,2.0,13.0,,6.0,2.0,,
gdpr,90 - 120,13,4.0,13.0,10.0,2.0,,,
kafka,90 - 120,12,12.0,12.0,18.0,7.0,,,
numpy,90 - 120,11,,11.0,14.0,7.0,,,
javascript,90 - 120,11,10.0,11.0,2.0,1.0,,,
redshift,90 - 120,10,1.0,10.0,20.0,5.0,,,
pyspark,90 - 120,10,,10.0,18.0,2.0,,,
jenkins,90 - 120,10,9.0,10.0,7.0,5.0,,,
express,90 - 120,10,,10.0,,,,,
react,90 - 120,9,4.0,9.0,3.0,1.0,1.0,,
matplotlib,90 - 120,9,2.0,9.0,7.0,2.0,1.0,,
word,90 - 120,7,7.0,7.0,3.0,,,,
vba,90 - 120,7,4.0,7.0,,,,,
jupyter,90 - 120,7,6.0,7.0,6.0,2.0,,,
julia,90 - 120,7,2.0,7.0,2.0,,,,
dax,90 - 120,7,2.0,7.0,3.0,1.0,,,
ssis,90 - 120,6,5.0,6.0,4.0,2.0,,,
scikit-learn,90 - 120,6,6.0,6.0,12.0,4.0,,,
node.js,90 - 120,6,4.0,6.0,,,,,
gitlab,90 - 120,6,10.0,6.0,1.0,,2.0,,
elasticsearch,90 - 120,6,4.0,6.0,8.0,,,,
postgresql,90 - 120,5,3.0,5.0,13.0,4.0,,,
flask,90 - 120,5,,5.0,2.0,2.0,1.0,,
css,90 - 120,5,3.0,5.0,,2.0,,,
chef,90 - 120,5,,5.0,1.0,,,,
c,90 - 120,5,1.0,5.0,2.0,3.0,,1.0,
ansible,90 - 120,5,5.0,5.0,2.0,1.0,,,
angular,90 - 120,5,3.0,5.0,,,1.0,,
powerpoint,90 - 120,4,9.0,4.0,,,,1.0,
html,90 - 120,4,4.0,4.0,,2.0,,,
graphql,90 - 120,4,1.0,4.0,,,,,
unify,90 - 120,3,3.0,3.0,,1.0,,,
typescript,90 - 120,3,2.0,3.0,2.0,,,,
swift,90 - 120,3,1.0,3.0,,1.0,,,
ssrs,90 - 120,3,2.0,3.0,,1.0,,,
slack,90 - 120,3,1.0,3.0,2.0,2.0,1.0,,
sharepoint,90 - 120,3,1.0,3.0,,,,,
outlook,90 - 120,3,3.0,3.0,,,,,
cassandra,90 - 120,3,3.0,3.0,,2.0,,,
zoom,90 - 120,2,1.0,2.0,,,,,
vue,90 - 120,2,,2.0,,,1.0,,
visio,90 - 120,2,1.0,2.0,3.0,,,,
unreal,90 - 120,2,1.0,2.0,,,,,
spss,90 - 120,2,1.0,2.0,,,,,
shell,90 - 120,2,8.0,2.0,4.0,1.0,,,
sheets,90 - 120,2,3.0,2.0,,,,,
pulumi,90 - 120,2,2.0,2.0,,,,,
plotly,90 - 120,2,1.0,2.0,,4.0,,,
perl,90 - 120,2,2.0,2.0,,2.0,,,
nltk,90 - 120,2,1.0,2.0,,1.0,,,
neo4j,90 - 120,2,3.0,2.0,,1.0,,,
mysql,90 - 120,2,5.0,2.0,12.0,2.0,,,
matlab,90 - 120,2,10.0,2.0,8.0,,,,
fastapi,90 - 120,2,1.0,2.0,2.0,3.0,,,
dynamodb,90 - 120,2,1.0,2.0,,2.0,,,
crystal,90 - 120,2,,2.0,,,,,
confluence,90 - 120,2,5.0,2.0,4.0,2.0,,,
atlassian,90 - 120,2,2.0,2.0,,4.0,,,
yarn,90 - 120,1,2.0,1.0,,,,,
terminal,90 - 120,1,,1.0,,,,,
spring,90 - 120,1,2.0,1.0,1.0,,,,
spreadsheet,90 - 120,1,1.0,1.0,,,,,
selenium,90 - 120,1,1.0,1.0,,,,,
seaborn,90 - 120,1,3.0,1.0,,1.0,,,
rust,90 - 120,1,,1.0,,1.0,,,1.0
ruby on rails,90 - 120,1,,1.0,,,,,
ruby,90 - 120,1,5.0,1.0,,2.0,,,
redis,90 - 120,1,2.0,1.0,4.0,,,,
phoenix,90 - 120,1,1.0,1.0,,1.0,,,
opencv,90 - 120,1,3.0,1.0,,1.0,,1.0,1.0
npm,90 - 120,1,,1.0,3.0,,,,
no-sql,90 - 120,1,1.0,1.0,,,,,
ms access,90 - 120,1,,1.0,,,,,
mongo,90 - 120,1,,1.0,1.0,1.0,,,
kotlin,90 - 120,1,2.0,1.0,,1.0,,,
jquery,90 - 120,1,1.0,1.0,,2.0,,,
ibm cloud,90 - 120,1,,1.0,,,,,
couchdb,90 - 120,1,,1.0,,1.0,,,
alteryx,90 - 120,1,4.0,1.0,2.0,,,,
excel,60 - 90,38,38.0,16.0,3.0,,,,
power bi,60 - 90,18,18.0,36.0,8.0,,,,
oracle,60 - 90,14,14.0,14.0,17.0,1.0,,,
kafka,60 - 90,12,12.0,12.0,18.0,7.0,,,
sas,60 - 90,11,11.0,14.0,,1.0,,,
sap,60 - 90,11,11.0,24.0,5.0,,,,
matlab,60 - 90,10,10.0,2.0,8.0,,,,
javascript,60 - 90,10,10.0,11.0,2.0,1.0,,,
gitlab,60 - 90,10,10.0,6.0,1.0,,2.0,,
bash,60 - 90,10,10.0,,2.0,1.0,,,1.0
powerpoint,60 - 90,9,9.0,4.0,,,,1.0,
kubernetes,60 - 90,9,9.0,24.0,14.0,3.0,,,
jenkins,60 - 90,9,9.0,10.0,7.0,5.0,,,
shell,60 - 90,8,8.0,2.0,4.0,1.0,,,
go,60 - 90,8,8.0,31.0,26.0,,,,
word,60 - 90,7,7.0,7.0,3.0,,,,
unix,60 - 90,7,7.0,,2.0,3.0,,,
databricks,60 - 90,7,7.0,19.0,28.0,,,,
scikit-learn,60 - 90,6,6.0,6.0,12.0,4.0,,,
qlik,60 - 90,6,6.0,17.0,5.0,,,,
linux,60 - 90,6,6.0,24.0,,6.0,,,
jupyter,60 - 90,6,6.0,7.0,6.0,2.0,,,
terraform,60 - 90,5,5.0,19.0,13.0,1.0,,,
ssis,60 - 90,5,5.0,6.0,4.0,2.0,,,
ruby,60 - 90,5,5.0,1.0,,2.0,,,
nosql,60 - 90,5,5.0,26.0,6.0,8.0,,,
mysql,60 - 90,5,5.0,2.0,12.0,2.0,,,
jira,60 - 90,5,5.0,15.0,11.0,1.0,,,
git,60 - 90,5,5.0,29.0,16.0,3.0,,,
confluence,60 - 90,5,5.0,2.0,4.0,2.0,,,
assembly,60 - 90,5,5.0,,1.0,,,,
ansible,60 - 90,5,5.0,5.0,2.0,1.0,,,
vba,60 - 90,4,4.0,7.0,,,,,
tableau,60 - 90,4,4.0,54.0,11.0,,,,
sql server,60 - 90,4,4.0,13.0,10.0,2.0,,,
react,60 - 90,4,4.0,9.0,3.0,1.0,1.0,,
node.js,60 - 90,4,4.0,6.0,,,,,
html,60 - 90,4,4.0,4.0,,2.0,,,
hadoop,60 - 90,4,4.0,20.0,12.0,5.0,,,
golang,60 - 90,4,4.0,,1.0,1.0,,,
gdpr,60 - 90,4,4.0,13.0,10.0,2.0,,,
flow,60 - 90,4,4.0,19.0,7.0,2.0,,,
elasticsearch,60 - 90,4,4.0,6.0,8.0,,,,
c#,60 - 90,4,4.0,16.0,5.0,1.0,,,
bitbucket,60 - 90,4,4.0,,3.0,2.0,,,
alteryx,60 - 90,4,4.0,1.0,2.0,,,,
unify,60 - 90,3,3.0,3.0,,1.0,,,
sheets,60 - 90,3,3.0,2.0,,,,,
seaborn,60 - 90,3,3.0,1.0,,1.0,,,
postgresql,60 - 90,3,3.0,5.0,13.0,4.0,,,
php,60 - 90,3,3.0,,,1.0,,,
outlook,60 - 90,3,3.0,3.0,,,,,
opencv,60 - 90,3,3.0,1.0,,1.0,,1.0,1.0
neo4j,60 - 90,3,3.0,2.0,,1.0,,,
mongodb,60 - 90,3,3.0,14.0,4.0,,2.0,,
css,60 - 90,3,3.0,5.0,,2.0,,,
cassandra,60 - 90,3,3.0,3.0,,2.0,,,
angular,60 - 90,3,3.0,5.0,,,1.0,,
yarn,60 - 90,2,2.0,1.0,,,,,
vue.js,60 - 90,2,2.0,,,,,,
typescript,60 - 90,2,2.0,3.0,2.0,,,,
t-sql,60 - 90,2,2.0,,,4.0,,,
ssrs,60 - 90,2,2.0,3.0,,1.0,,,
spring,60 - 90,2,2.0,1.0,1.0,,,,
redis,60 - 90,2,2.0,1.0,4.0,,,,
r,60 - 90,2,2.0,57.0,3.0,,,,
puppet,60 - 90,2,2.0,,1.0,,,,
pulumi,60 - 90,2,2.0,2.0,,,,,
powershell,60 - 90,2,2.0,,2.0,,,,
perl,60 - 90,2,2.0,2.0,,2.0,,,
matplotlib,60 - 90,2,2.0,9.0,7.0,2.0,1.0,,
kotlin,60 - 90,2,2.0,1.0,,1.0,,,
keras,60 - 90,2,2.0,13.0,,6.0,2.0,,
julia,60 - 90,2,2.0,7.0,2.0,,,,
github,60 - 90,2,2.0,18.0,5.0,5.0,1.0,,
dax,60 - 90,2,2.0,7.0,3.0,1.0,,,
bigquery,60 - 90,2,2.0,15.0,19.0,1.0,1.0,,
atlassian,60 - 90,2,2.0,2.0,,4.0,,,
zoom,60 - 90,1,1.0,2.0,,,,,
windows,60 - 90,1,1.0,14.0,2.0,,,,
visio,60 - 90,1,1.0,2.0,3.0,,,,
unreal,60 - 90,1,1.0,2.0,,,,,
ubuntu,60 - 90,1,1.0,,,,,,
trello,60 - 90,1,1.0,,,,,,
symphony,60 - 90,1,1.0,,,,,,
swift,60 - 90,1,1.0,3.0,,1.0,,,
svn,60 - 90,1,1.0,,,,,,
spss,60 - 90,1,1.0,2.0,,,,,
spreadsheet,60 - 90,1,1.0,1.0,,,,,
snowflake,60 - 90,1,1.0,15.0,34.0,1.0,,,
slack,60 - 90,1,1.0,3.0,2.0,2.0,1.0,,
sharepoint,60 - 90,1,1.0,3.0,,,,,
selenium,60 - 90,1,1.0,1.0,,,,,
redshift,60 - 90,1,1.0,10.0,20.0,5.0,,,
plotly,60 - 90,1,1.0,2.0,,4.0,,,
phoenix,60 - 90,1,1.0,1.0,,1.0,,,
pascal,60 - 90,1,1.0,,,,,,
pandas,60 - 90,1,1.0,15.0,25.0,1.0,,,
openstack,60 - 90,1,1.0,,,,,,
no-sql,60 - 90,1,1.0,1.0,,,,,
nltk,60 - 90,1,1.0,2.0,,1.0,,,
microstrategy,60 - 90,1,1.0,,,,,,
mariadb,60 - 90,1,1.0,,,,,,
looker,60 - 90,1,1.0,18.0,29.0,1.0,,,
jquery,60 - 90,1,1.0,1.0,,2.0,,,
groovy,60 - 90,1,1.0,,,,,,
graphql,60 - 90,1,1.0,4.0,,,,,
fastapi,60 - 90,1,1.0,2.0,2.0,3.0,,,
dynamodb,60 - 90,1,1.0,2.0,,2.0,,,
docker,60 - 90,1,1.0,39.0,16.0,2.0,,,
datarobot,60 - 90,1,1.0,,,,,,
cognos,60 - 90,1,1.0,,,,,,
centos,60 - 90,1,1.0,,,,,,
c,60 - 90,1,1.0,5.0,2.0,3.0,,1.0,
asana,60 - 90,1,1.0,,,1.0,,,
express,30 - 60,6,,10.0,,,,,
powerpoint,30 - 60,5,9.0,4.0,,,,1.0,
cognos,30 - 60,4,1.0,,,,,,
airflow,30 - 60,4,,17.0,36.0,2.0,,,
vba,30 - 60,3,4.0,7.0,,,,,
slack,30 - 60,3,1.0,3.0,2.0,2.0,1.0,,
sheets,30 - 60,3,3.0,2.0,,,,,
jenkins,30 - 60,3,9.0,10.0,7.0,5.0,,,
yarn,30 - 60,2,2.0,1.0,,,,,
typescript,30 - 60,2,2.0,3.0,2.0,,,,
perl,30 - 60,2,2.0,2.0,,2.0,,,
opencv,30 - 60,2,3.0,1.0,,1.0,,1.0,1.0
mongodb,30 - 60,2,3.0,14.0,4.0,,2.0,,
matlab,30 - 60,2,10.0,2.0,8.0,,,,
keras,30 - 60,2,2.0,13.0,,6.0,2.0,,
groovy,30 - 60,2,1.0,,,,,,
c++,30 - 60,2,,17.0,9.0,,1.0,1.0,
zoom,30 - 60,1,1.0,2.0,,,,,
word,30 - 60,1,7.0,7.0,3.0,,,,
windows,30 - 60,1,1.0,14.0,2.0,,,,
vue,30 - 60,1,,2.0,,,1.0,,
visio,30 - 60,1,1.0,2.0,3.0,,,,
unity,30 - 60,1,,,,,,,
tidyverse,30 - 60,1,,,,,,,
terraform,30 - 60,1,5.0,19.0,13.0,1.0,,,
ssis,30 - 60,1,5.0,6.0,4.0,2.0,,,
spss,30 - 60,1,1.0,2.0,,,,,
spring,30 - 60,1,2.0,1.0,1.0,,,,
spreadsheet,30 - 60,1,1.0,1.0,,,,,
solidity,30 - 60,1,,,1.0,,,,
sharepoint,30 - 60,1,1.0,3.0,,,,,
seaborn,30 - 60,1,3.0,1.0,,1.0,,,
rust,30 - 60,1,,1.0,,1.0,,,1.0
ruby,30 - 60,1,5.0,1.0,,2.0,,,
redis,30 - 60,1,2.0,1.0,4.0,,,,
react,30 - 60,1,4.0,9.0,3.0,1.0,1.0,,
qlik,30 - 60,1,6.0,17.0,5.0,,,,
pyspark,30 - 60,1,,10.0,18.0,2.0,,,
puppet,30 - 60,1,2.0,,1.0,,,,
powershell,30 - 60,1,2.0,,2.0,,,,
postgresql,30 - 60,1,3.0,5.0,13.0,4.0,,,
php,30 - 60,1,3.0,,,1.0,,,
node.js,30 - 60,1,4.0,6.0,,,,,
node,30 - 60,1,,,1.0,,,,
mxnet,30 - 60,1,,,1.0,,,,
mongo,30 - 60,1,,1.0,1.0,1.0,,,
microstrategy,30 - 60,1,1.0,,,,,,
linux,30 - 60,1,6.0,24.0,,6.0,,,
kubernetes,30 - 60,1,9.0,24.0,14.0,3.0,,,
javascript,30 - 60,1,10.0,11.0,2.0,1.0,,,
html,30 - 60,1,4.0,4.0,,2.0,,,
graphql,30 - 60,1,1.0,4.0,,,,,
github,30 - 60,1,2.0,18.0,5.0,5.0,1.0,,
flutter,30 - 60,1,,,,,,,
firestore,30 - 60,1,,,,,,,
elixir,30 - 60,1,,,,,,,
elasticsearch,30 - 60,1,4.0,6.0,8.0,,,,
dax,30 - 60,1,2.0,7.0,3.0,1.0,,,
css,30 - 60,1,3.0,5.0,,2.0,,,
c#,30 - 60,1,4.0,16.0,5.0,1.0,,,
c,30 - 60,1,1.0,5.0,2.0,3.0,,1.0,
blazor,30 - 60,1,,,,,,,
bash,30 - 60,1,10.0,,2.0,1.0,,,1.0
assembly,30 - 60,1,5.0,,1.0,,,,
ansible,30 - 60,1,5.0,5.0,2.0,1.0,,,
angular,30 - 60,1,3.0,5.0,,,1.0,,
