Skills,Group,Total
rust,240 - 270,1
opencv,240 - 270,1
bash,240 - 270,1
powerpoint,210 - 240,1
opencv,210 - 240,1
c++,210 - 240,1
c,210 - 240,1
mongodb,180 - 210,2
keras,180 - 210,2
gitlab,180 - 210,2
vue,180 - 210,1
tensorflow,180 - 210,1
slack,180 - 210,1
react,180 - 210,1
matplotlib,180 - 210,1
github,180 - 210,1
flask,180 - 210,1
debian,180 - 210,1
c++,180 - 210,1
bigquery,180 - 210,1
angular,180 - 210,1
nosql,150 - 180,8
numpy,150 - 180,7
kafka,150 - 180,7
aws,150 - 180,7
linux,150 - 180,6
keras,150 - 180,6
gcp,150 - 180,6
tensorflow,150 - 180,5
redshift,150 - 180,5
jenkins,150 - 180,5
hadoop,150 - 180,5
github,150 - 180,5
t-sql,150 - 180,4
spark,150 - 180,4
scikit-learn,150 - 180,4
postgresql,150 - 180,4
plotly,150 - 180,4
atlassian,150 - 180,4
unix,150 - 180,3
pytorch,150 - 180,3
kubernetes,150 - 180,3
git,150 - 180,3
fastapi,150 - 180,3
c,150 - 180,3
ssis,150 - 180,2
sql server,150 - 180,2
splunk,150 - 180,2
slack,150 - 180,2
ruby,150 - 180,2
pyspark,150 - 180,2
perl,150 - 180,2
mysql,150 - 180,2
matplotlib,150 - 180,2
jupyter,150 - 180,2
jquery,150 - 180,2
html,150 - 180,2
ggplot2,150 - 180,2
gdpr,150 - 180,2
flow,150 - 180,2
flask,150 - 180,2
dynamodb,150 - 180,2
docker,150 - 180,2
css,150 - 180,2
confluence,150 - 180,2
cassandra,150 - 180,2
bitbucket,150 - 180,2
airflow,150 - 180,2
unify,150 - 180,1
theano,150 - 180,1
terraform,150 - 180,1
swift,150 - 180,1
ssrs,150 - 180,1
snowflake,150 - 180,1
smartsheet,150 - 180,1
shell,150 - 180,1
seaborn,150 - 180,1
sass,150 - 180,1
sas,150 - 180,1
rust,150 - 180,1
rshiny,150 - 180,1
redhat,150 - 180,1
react,150 - 180,1
php,150 - 180,1
phoenix,150 - 180,1
pandas,150 - 180,1
oracle,150 - 180,1
opencv,150 - 180,1
nltk,150 - 180,1
neo4j,150 - 180,1
mongo,150 - 180,1
macos,150 - 180,1
looker,150 - 180,1
kotlin,150 - 180,1
jira,150 - 180,1
javascript,150 - 180,1
java,150 - 180,1
golang,150 - 180,1
firebase,150 - 180,1
dplyr,150 - 180,1
django,150 - 180,1
dax,150 - 180,1
couchdb,150 - 180,1
c#,150 - 180,1
bigquery,150 - 180,1
bash,150 - 180,1
aurora,150 - 180,1
asp.net,150 - 180,1
asana,150 - 180,1
ansible,150 - 180,1
aws,120 - 150,43
spark,120 - 150,38
airflow,120 - 150,36
snowflake,120 - 150,34
python,120 - 150,33
looker,120 - 150,29
databricks,120 - 150,28
sql,120 - 150,26
go,120 - 150,26
pandas,120 - 150,25
azure,120 - 150,24
gcp,120 - 150,23
redshift,120 - 150,20
java,120 - 150,19
bigquery,120 - 150,19
pyspark,120 - 150,18
kafka,120 - 150,18
oracle,120 - 150,17
scala,120 - 150,16
pytorch,120 - 150,16
git,120 - 150,16
docker,120 - 150,16
tensorflow,120 - 150,15
numpy,120 - 150,14
kubernetes,120 - 150,14
terraform,120 - 150,13
postgresql,120 - 150,13
scikit-learn,120 - 150,12
mysql,120 - 150,12
hadoop,120 - 150,12
tableau,120 - 150,11
jira,120 - 150,11
sql server,120 - 150,10
gdpr,120 - 150,10
c++,120 - 150,9
power bi,120 - 150,8
matlab,120 - 150,8
elasticsearch,120 - 150,8
matplotlib,120 - 150,7
jenkins,120 - 150,7
flow,120 - 150,7
nosql,120 - 150,6
jupyter,120 - 150,6
sap,120 - 150,5
qlik,120 - 150,5
github,120 - 150,5
c#,120 - 150,5
ssis,120 - 150,4
shell,120 - 150,4
redis,120 - 150,4
mongodb,120 - 150,4
confluence,120 - 150,4
word,120 - 150,3
visio,120 - 150,3
react,120 - 150,3
r,120 - 150,3
npm,120 - 150,3
hugging face,120 - 150,3
excel,120 - 150,3
dax,120 - 150,3
bitbucket,120 - 150,3
windows,120 - 150,2
unix,120 - 150,2
typescript,120 - 150,2
slack,120 - 150,2
powershell,120 - 150,2
julia,120 - 150,2
javascript,120 - 150,2
flask,120 - 150,2
fastapi,120 - 150,2
c,120 - 150,2
bash,120 - 150,2
ansible,120 - 150,2
alteryx,120 - 150,2
twilio,120 - 150,1
theano,120 - 150,1
spring,120 - 150,1
solidity,120 - 150,1
puppet,120 - 150,1
notion,120 - 150,1
node,120 - 150,1
mxnet,120 - 150,1
mongo,120 - 150,1
golang,120 - 150,1
gitlab,120 - 150,1
django,120 - 150,1
chef,120 - 150,1
assembly,120 - 150,1
sql,90 - 120,83
python,90 - 120,82
azure,90 - 120,64
r,90 - 120,57
tableau,90 - 120,54
java,90 - 120,43
aws,90 - 120,41
docker,90 - 120,39
spark,90 - 120,38
power bi,90 - 120,36
scala,90 - 120,33
go,90 - 120,31
git,90 - 120,29
nosql,90 - 120,26
gcp,90 - 120,25
sap,90 - 120,24
linux,90 - 120,24
kubernetes,90 - 120,24
pytorch,90 - 120,21
hadoop,90 - 120,20
terraform,90 - 120,19
flow,90 - 120,19
databricks,90 - 120,19
looker,90 - 120,18
github,90 - 120,18
tensorflow,90 - 120,17
qlik,90 - 120,17
c++,90 - 120,17
airflow,90 - 120,17
excel,90 - 120,16
c#,90 - 120,16
snowflake,90 - 120,15
pandas,90 - 120,15
jira,90 - 120,15
bigquery,90 - 120,15
windows,90 - 120,14
sas,90 - 120,14
oracle,90 - 120,14
mongodb,90 - 120,14
sql server,90 - 120,13
keras,90 - 120,13
gdpr,90 - 120,13
kafka,90 - 120,12
numpy,90 - 120,11
javascript,90 - 120,11
redshift,90 - 120,10
pyspark,90 - 120,10
jenkins,90 - 120,10
express,90 - 120,10
react,90 - 120,9
matplotlib,90 - 120,9
word,90 - 120,7
vba,90 - 120,7
jupyter,90 - 120,7
julia,90 - 120,7
dax,90 - 120,7
ssis,90 - 120,6
scikit-learn,90 - 120,6
node.js,90 - 120,6
gitlab,90 - 120,6
elasticsearch,90 - 120,6
postgresql,90 - 120,5
flask,90 - 120,5
css,90 - 120,5
chef,90 - 120,5
c,90 - 120,5
ansible,90 - 120,5
angular,90 - 120,5
powerpoint,90 - 120,4
html,90 - 120,4
graphql,90 - 120,4
unify,90 - 120,3
typescript,90 - 120,3
swift,90 - 120,3
ssrs,90 - 120,3
slack,90 - 120,3
sharepoint,90 - 120,3
outlook,90 - 120,3
cassandra,90 - 120,3
zoom,90 - 120,2
vue,90 - 120,2
visio,90 - 120,2
unreal,90 - 120,2
spss,90 - 120,2
shell,90 - 120,2
sheets,90 - 120,2
pulumi,90 - 120,2
plotly,90 - 120,2
perl,90 - 120,2
nltk,90 - 120,2
neo4j,90 - 120,2
mysql,90 - 120,2
matlab,90 - 120,2
fastapi,90 - 120,2
dynamodb,90 - 120,2
crystal,90 - 120,2
confluence,90 - 120,2
atlassian,90 - 120,2
yarn,90 - 120,1
terminal,90 - 120,1
spring,90 - 120,1
spreadsheet,90 - 120,1
selenium,90 - 120,1
seaborn,90 - 120,1
rust,90 - 120,1
ruby on rails,90 - 120,1
ruby,90 - 120,1
redis,90 - 120,1
phoenix,90 - 120,1
opencv,90 - 120,1
npm,90 - 120,1
no-sql,90 - 120,1
ms access,90 - 120,1
mongo,90 - 120,1
kotlin,90 - 120,1
jquery,90 - 120,1
ibm cloud,90 - 120,1
couchdb,90 - 120,1
alteryx,90 - 120,1
excel,60 - 90,38
power bi,60 - 90,18
oracle,60 - 90,14
kafka,60 - 90,12
sas,60 - 90,11
sap,60 - 90,11
matlab,60 - 90,10
javascript,60 - 90,10
gitlab,60 - 90,10
bash,60 - 90,10
powerpoint,60 - 90,9
kubernetes,60 - 90,9
jenkins,60 - 90,9
shell,60 - 90,8
go,60 - 90,8
word,60 - 90,7
unix,60 - 90,7
databricks,60 - 90,7
scikit-learn,60 - 90,6
qlik,60 - 90,6
linux,60 - 90,6
jupyter,60 - 90,6
terraform,60 - 90,5
ssis,60 - 90,5
ruby,60 - 90,5
nosql,60 - 90,5
mysql,60 - 90,5
jira,60 - 90,5
git,60 - 90,5
confluence,60 - 90,5
assembly,60 - 90,5
ansible,60 - 90,5
vba,60 - 90,4
tableau,60 - 90,4
sql server,60 - 90,4
react,60 - 90,4
node.js,60 - 90,4
html,60 - 90,4
hadoop,60 - 90,4
golang,60 - 90,4
gdpr,60 - 90,4
flow,60 - 90,4
elasticsearch,60 - 90,4
c#,60 - 90,4
bitbucket,60 - 90,4
alteryx,60 - 90,4
unify,60 - 90,3
sheets,60 - 90,3
seaborn,60 - 90,3
postgresql,60 - 90,3
php,60 - 90,3
outlook,60 - 90,3
opencv,60 - 90,3
neo4j,60 - 90,3
mongodb,60 - 90,3
css,60 - 90,3
cassandra,60 - 90,3
angular,60 - 90,3
yarn,60 - 90,2
vue.js,60 - 90,2
typescript,60 - 90,2
t-sql,60 - 90,2
ssrs,60 - 90,2
spring,60 - 90,2
redis,60 - 90,2
r,60 - 90,2
puppet,60 - 90,2
pulumi,60 - 90,2
powershell,60 - 90,2
perl,60 - 90,2
matplotlib,60 - 90,2
kotlin,60 - 90,2
keras,60 - 90,2
julia,60 - 90,2
github,60 - 90,2
dax,60 - 90,2
bigquery,60 - 90,2
atlassian,60 - 90,2
zoom,60 - 90,1
windows,60 - 90,1
visio,60 - 90,1
unreal,60 - 90,1
ubuntu,60 - 90,1
trello,60 - 90,1
symphony,60 - 90,1
swift,60 - 90,1
svn,60 - 90,1
spss,60 - 90,1
spreadsheet,60 - 90,1
snowflake,60 - 90,1
slack,60 - 90,1
sharepoint,60 - 90,1
selenium,60 - 90,1
redshift,60 - 90,1
plotly,60 - 90,1
phoenix,60 - 90,1
pascal,60 - 90,1
pandas,60 - 90,1
openstack,60 - 90,1
no-sql,60 - 90,1
nltk,60 - 90,1
microstrategy,60 - 90,1
mariadb,60 - 90,1
looker,60 - 90,1
jquery,60 - 90,1
groovy,60 - 90,1
graphql,60 - 90,1
fastapi,60 - 90,1
dynamodb,60 - 90,1
docker,60 - 90,1
datarobot,60 - 90,1
cognos,60 - 90,1
centos,60 - 90,1
c,60 - 90,1
asana,60 - 90,1
express,30 - 60,6
powerpoint,30 - 60,5
cognos,30 - 60,4
airflow,30 - 60,4
vba,30 - 60,3
slack,30 - 60,3
sheets,30 - 60,3
jenkins,30 - 60,3
yarn,30 - 60,2
typescript,30 - 60,2
perl,30 - 60,2
opencv,30 - 60,2
mongodb,30 - 60,2
matlab,30 - 60,2
keras,30 - 60,2
groovy,30 - 60,2
c++,30 - 60,2
zoom,30 - 60,1
word,30 - 60,1
windows,30 - 60,1
vue,30 - 60,1
visio,30 - 60,1
unity,30 - 60,1
tidyverse,30 - 60,1
terraform,30 - 60,1
ssis,30 - 60,1
spss,30 - 60,1
spring,30 - 60,1
spreadsheet,30 - 60,1
solidity,30 - 60,1
sharepoint,30 - 60,1
seaborn,30 - 60,1
rust,30 - 60,1
ruby,30 - 60,1
redis,30 - 60,1
react,30 - 60,1
qlik,30 - 60,1
pyspark,30 - 60,1
puppet,30 - 60,1
powershell,30 - 60,1
postgresql,30 - 60,1
php,30 - 60,1
node.js,30 - 60,1
node,30 - 60,1
mxnet,30 - 60,1
mongo,30 - 60,1
microstrategy,30 - 60,1
linux,30 - 60,1
kubernetes,30 - 60,1
javascript,30 - 60,1
html,30 - 60,1
graphql,30 - 60,1
github,30 - 60,1
flutter,30 - 60,1
firestore,30 - 60,1
elixir,30 - 60,1
elasticsearch,30 - 60,1
dax,30 - 60,1
css,30 - 60,1
c#,30 - 60,1
c,30 - 60,1
blazor,30 - 60,1
bash,30 - 60,1
assembly,30 - 60,1
ansible,30 - 60,1
angular,30 - 60,1
